0.325315,0.352403,0.387865,0.603466,0.684328,0.000000
0.378332,0.286157,0.818105,0.617903,0.273627,2.000000
0.289913,0.507629,0.136447,0.023596,0.784198,2.000000
0.719007,0.851342,0.538822,0.777937,0.693989,2.000000
0.349945,0.235118,0.025433,0.896163,0.917491,1.000000
0.755458,0.074279,0.063819,0.542712,0.019944,2.000000
0.218654,0.838696,0.267963,0.407344,0.843674,2.000000
0.830134,0.512716,0.659943,0.915367,0.459970,2.000000
0.460553,0.969082,0.475541,0.401198,0.075882,1.000000
0.079869,0.828800,0.424051,0.654610,0.378882,1.000000
0.226470,0.475668,0.621054,0.191235,0.401843,2.000000
0.892382,0.476789,0.349112,0.603553,0.600711,1.000000
0.104852,0.870443,0.968861,0.410025,0.075472,1.000000
0.726682,0.485059,0.016326,0.221306,0.039064,2.000000
0.591722,0.373971,0.257251,0.599159,0.484890,0.000000
0.495189,0.912374,0.908252,0.083019,0.501512,2.000000
0.572951,0.741835,0.773355,0.469639,0.940855,1.000000
0.550061,0.690928,0.516662,0.794688,0.053120,1.000000
0.765624,0.213495,0.571781,0.926879,0.715664,1.000000
0.318012,0.517075,0.399425,0.984741,0.190371,1.000000
0.623225,0.625922,0.075006,0.969174,0.067046,0.000000
0.374867,0.572017,0.632866,0.119706,0.014472,2.000000
0.556906,0.345612,0.401215,0.733617,0.349494,1.000000
0.597779,0.887173,0.679833,0.754480,0.805562,1.000000
0.444024,0.326923,0.525668,0.494560,0.884100,1.000000
0.835070,0.121963,0.604383,0.946508,0.975437,0.000000
0.056337,0.546296,0.138815,0.222259,0.842973,0.000000
0.475533,0.024811,0.945993,0.949399,0.376283,1.000000
0.289228,0.355768,0.179650,0.247472,0.895844,2.000000
0.029641,0.811378,0.387546,0.086763,0.991721,1.000000
0.380291,0.528746,0.732754,0.598066,0.959168,2.000000
0.973028,0.416287,0.347160,0.501447,0.083047,1.000000
0.619859,0.645163,0.097657,0.022789,0.531858,2.000000
0.335451,0.842735,0.085962,0.977898,0.214014,1.000000
0.614458,0.360571,0.012404,0.780081,0.100275,2.000000
0.653195,0.823698,0.355755,0.643770,0.698886,0.000000
0.619446,0.338623,0.435666,0.870399,0.809116,2.000000
0.279864,0.511619,0.729088,0.189351,0.467937,0.000000
0.540494,0.270334,0.820638,0.600380,0.220870,1.000000
0.421949,0.001731,0.995886,0.527381,0.721322,2.000000
0.415474,0.960928,0.596563,0.881962,0.550011,1.000000
0.643341,0.244993,0.101685,0.863299,0.542745,2.000000
0.651852,0.889708,0.530423,0.990722,0.189131,2.000000
0.231121,0.795546,0.151922,0.649123,0.191841,2.000000
0.526448,0.557925,0.212540,0.131793,0.144901,2.000000
0.957346,0.034197,0.400490,0.280329,0.774102,1.000000
0.187904,0.785801,0.723857,0.052838,0.349719,1.000000
0.793311,0.046575,0.441349,0.625416,0.558166,2.000000
0.752623,0.612757,0.339892,0.414279,0.553916,0.000000
0.824274,0.663219,0.994069,0.803962,0.262929,0.000000
0.061436,0.113962,0.774946,0.555248,0.740161,0.000000
0.545573,0.078311,0.029989,0.356317,0.567102,2.000000
0.652888,0.301816,0.075759,0.545447,0.769639,1.000000
0.666716,0.576439,0.513279,0.929775,0.587999,1.000000
0.579800,0.658943,0.534044,0.147828,0.682220,0.000000
